obsid,refid,author,year,treatment,description,high_intensity_eibi,low_intensity_eibi,low_intensity_parent_training,defined_school_program,high_intensity_community,adjunctive_community_service,eclectic_school,intervention_duration,intervention_intensity,other_interventions,time_to_last_fup,n_enroll,n_analysis,age_enroll_mean,age_enroll_sd,age_enroll_lo,age_enroll_hi,diagnosis_autism,diagnosis_pdd-nos,diagnosis_asperger,diagnosis_other,iq_measure,iq_mean,iq_sd
1,6276_240,Kovshoff,2011,EIBI,One on one ABA basied EIBI with enrollment in school over time,1,0,0,0,0,0,1,24.0,25.6,,24,23,23,35.7,4.0,,,,,,23.0,Stanford-Binet and Bayley scale,61.43,16.43
2,6276_240,Kovshoff,2011,Control,Adjunctive interventions with school placemetn over time,0,0,0,0,0,1,1,24.0,,,24,18,18,38.4,4.4,,,,,,18.0,Stanford-Binet and Bayley scale,63.83,13.98
3,6493,Strain,2011,LEAP,Program day (2.5-3 hours) + LEAP training,0,0,0,1,0,0,0,24.0,,,immed,28,27,50.1,4.6,,,,,,28.0,,,
4,6493,Strain,2011,intervention manuals only,Program day (2.5-3 hours) + Leap manuals,0,0,0,0,0,0,1,24.0,,,immed,28,23,50.7,4.2,,,,,,28.0,,,
5,6284,Eldevik,2012,EIBI,13.6 hours spent on goals across preschool with behavioral intervention integrated,1,0,0,1,0,0,0,25.1,13.6,,Varied,31,31,42.2,9.0,26.0,70.0,25.0,5.0,1.0,,,,
6,6284,Eldevik,2012,TAU,Five hours plus / Unspecified,0,0,0,0,0,1,0,24.6,5.0,,Varied,12,12,46.2,12.4,24.0,67.0,9.0,3.0,0.0,,,,
7,6288,Carter,2011,HTMW,8 parent training sessions / 3 parent child session,0,0,1,0,0,0,0,3.5,,,5.5,32,25,21.11,2.71,15.5,25.0,25.0,,,,,,
8,6288,Carter,2011,TAU,Community services for risk,0,0,0,0,0,1,0,3.5,,,5.5,30,25,21.51,2.82,16.3,25.0,25.0,,,,,,
9,6322,Peters-Scheffer,2010,low intensity behavioral,Preschool for I/DD (23.38 (3.82) + 6.29 ABA,0,1,0,1,0,0,0,8.0,6.5,,immed,12,12,53.5,5.52,42.0,62.0,,,,12.0,Bayley-Dutch version,47.0,10.33
10,6322,Peters-Scheffer,2010,control / TAU,Preschool for I/DD (23.38 (3.82),0,0,0,1,0,0,0,8.0,,,immed,22,22,52.95,11.14,38.0,75.0,,,,22.0,Bayley-Dutch version,45.73,15.99
11,6427,Reed,2012,ABA,EIBI,1,0,0,0,0,0,0,9.0,30.4,,immed,14,14,39.0,6.9,2.6,4.0,,,,14.0,PEP-R,55.1,17.3
12,6427,Reed,2012,Special nursery,Teach like school,0,0,0,1,0,0,0,9.0,12.7,,immed,21,21,41.5,4.0,2.6,4.0,,,,21.0,PEP-R,52.2,17.7
13,6427,Reed,2012,Portage,General developmental intervention,0,0,0,0,0,0,1,9.0,8.5,,immed,18,18,39.5,6.3,2.6,4.0,,,,18.0,PEP-R,54.0,15.4
