outcomeid,refid,author,year,treatment,high_intensity_eibi,low_intensity_eibi,low_intensity_parent_training,defined_school_program,high_intensity_community,adjunctive_community_service,eclectic_school,intervention_duration,n_analysis,age_enroll_mean,age_enroll_sd,age_enroll_lo,age_enroll_hi,diagnosis_autism,diagnosis_pdd-nos,diagnosis_asperger,diagnosis_other,obsid,cognition_outcome,tool,baseline_mean,baseline_sd,end_tx_mean,end_tx_sd,final_mean,final_sd,change_mean,change_sd
1,6276_240,Kovshoff,2011,EIBI,1,0,0,0,0,0,1,24.0,23,35.7,4.0,,,0.0,0.0,0.0,23.0,1,IQ Standard Score,Stanford-Binet and Bayley scale,61.43,16.43,73.48,27.28,64.65,33.04,,
49,6276_240,Kovshoff,2011,EIBI,1,0,0,0,0,0,1,24.0,23,35.7,4.0,,,0.0,0.0,0.0,23.0,1,IQ Age Scale,Bayley,22.04,6.89,33.7,10.16,44.39,16.39,,
2,6276_240,Kovshoff,2011,Control,0,0,0,0,0,1,1,24.0,18,38.4,4.4,,,0.0,0.0,0.0,18.0,2,IQ Standard Score,Stanford-Binet and Bayley scale,63.83,13.98,61.0,27.3,61.94,31.09,,
50,6276_240,Kovshoff,2011,Control,0,0,0,0,0,1,1,24.0,18,38.4,4.4,,,0.0,0.0,0.0,18.0,2,IQ Age Scale,Bayley,23.71,6.0,29.81,9.89,38.0,17.44,,
3,6493,Strain,2011,LEAP,0,0,0,1,0,0,0,24.0,27,50.1,4.6,,,0.0,0.0,0.0,28.0,3,IQ Standard Score,Mullen,59.6,6.9,68.5,7.5,,,8.9,
4,6493,Strain,2011,intervention manuals only,0,0,0,0,0,0,1,24.0,23,50.7,4.2,,,0.0,0.0,0.0,28.0,4,IQ Standard Score,Mullen,63.2,6.6,61.4,9.0,,,-1.8,
5,6284,Eldevik,2012,EIBI,1,0,0,1,0,0,0,25.1,31,42.2,9.0,26.0,70.0,25.0,5.0,1.0,0.0,5,IQ Standard Score,"BSID, SB:FE, Weschler",51.6,16.9,,,66.6,24.8,,
6,6284,Eldevik,2012,TAU,0,0,0,0,0,1,0,24.6,12,46.2,12.4,24.0,67.0,9.0,3.0,0.0,0.0,6,IQ Standard Score,"BSID, SB:FE, Weschler",51.7,18.1,,,52.2,22.0,,
7,6288,Carter,2011,HTMW,0,0,1,0,0,0,0,3.5,25,21.11,2.71,15.5,25.0,25.0,0.0,0.0,0.0,7,Language Age Scale,Mullen,8.22,6.01,,,16.2,7.23,,
51,6288,Carter,2011,HTMW,0,0,1,0,0,0,0,3.5,25,21.11,2.71,15.5,25.0,25.0,0.0,0.0,0.0,7,Language IQ,Mullen,8.41,5.42,,,15.52,6.93,,
8,6288,Carter,2011,TAU,0,0,0,0,0,1,0,3.5,25,21.51,2.82,16.3,25.0,25.0,0.0,0.0,0.0,8,Language Age Scale,Mullen,7.33,3.71,,,16.68,7.88,,
52,6288,Carter,2011,TAU,0,0,0,0,0,1,0,3.5,25,21.51,2.82,16.3,25.0,25.0,0.0,0.0,0.0,8,Language IQ,Mullen,8.17,4.44,,,17.48,8.33,,
9,6322,Peters-Scheffer,2010,low intensity behavioral,0,1,0,1,0,0,0,8.0,12,53.5,5.52,42.0,62.0,0.0,0.0,0.0,12.0,9,IQ Standard Score,Bayley-Dutch version,47.0,10.33,,,55.83,14.94,,
10,6322,Peters-Scheffer,2010,control / TAU,0,0,0,1,0,0,0,8.0,22,52.95,11.14,38.0,75.0,0.0,0.0,0.0,22.0,10,IQ Standard Score,Bayley-Dutch version,45.73,15.99,,,43.73,16.74,,
11,6427,Reed,2012,ABA,1,0,0,0,0,0,0,9.0,14,39.0,6.9,2.6,4.0,0.0,0.0,0.0,14.0,11,IQ Standard Score,PEP-R,55.1,17.3,,,,,14.5,16.0
12,6427,Reed,2012,Special nursery,0,0,0,1,0,0,0,9.0,21,41.5,4.0,2.6,4.0,0.0,0.0,0.0,21.0,12,IQ Standard Score,PEP-R,52.2,17.7,,,,,10.4,28.5
13,6427,Reed,2012,Portage,0,0,0,0,0,0,1,9.0,18,39.5,6.3,2.6,4.0,0.0,0.0,0.0,18.0,13,IQ Standard Score,PEP-R,54.0,15.4,,,,,0.6,11.1
14,6427,Reed,2012,Local authority approach,0,0,0,0,0,1,0,9.0,13,40.2,6.3,2.6,4.0,0.0,0.0,0.0,13.0,14,IQ Standard Score,PEP-R,51.7,14.5,,,,,3.2,16.4
15,6682,Rogers,2012,P-ESDM,0,0,1,0,0,0,0,2.8,49,21.02,3.51,12.0,24.0,0.0,0.0,0.0,49.0,15,IQ Standard Score,Mullen,64.88,17.22,69.82,17.9,,,,
16,6682,Rogers,2012,Community based Rx,0,0,0,0,0,1,0,2.8,49,20.94,3.42,12.0,24.0,0.0,0.0,0.0,49.0,16,IQ Standard Score,Mullen,63.08,15.93,67.92,17.93,,,,
17,6304_8035,"R. J. Landa, ","2011, 2012",Interpersonal Synchrony (IS),0,0,1,1,0,0,0,6.0,24,28.6,2.6,21.0,33.0,0.0,0.0,0.0,25.0,17,Language IQ,MSEL,23.92,5.5,34.08,14.59,34.52,12.33,,
53,6304_8035,"R. J. Landa, ","2011, 2012",Interpersonal Synchrony (IS),0,0,1,1,0,0,0,6.0,24,28.6,2.6,21.0,33.0,0.0,0.0,0.0,25.0,17,Non-verbal IQ,MSEL,27.5,8.27,36.75,14.54,34.44,16.67,,
